,Month,DayofMonth,DayOfWeek,FlightDate,Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,Origin,OriginCityName,OriginState,DestAirportID,Dest,DestCityName,DestState,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
492966,4,14,4,2022-04-14,OO,N296SY,3631,13487,MSP,"Minneapolis, MN",MN,13871,OMA,"Omaha, NE",NE,1535,1710.0,95.0,95.0,1.0,6.0,1500-1559,1650,1936.0,166.0,166.0,1.0,11.0,1600-1659,0.0,,0.0,75.0,146.0,54.0,282.0,2,0.0,166.0,0.0,0.0,0.0
513191,4,18,1,2022-04-18,QX,N400QX,2155,14747,SEA,"Seattle, WA",WA,11470,EAT,"Wenatchee, WA",WA,1423,1420.0,-3.0,0.0,0.0,-1.0,1400-1459,1510,1704.0,,,,,1500-1559,0.0,,1.0,47.0,,,99.0,1,,,,,
419114,4,6,3,2022-04-06,NK,N502NK,342,14107,PHX,"Phoenix, AZ",AZ,13487,MSP,"Minneapolis, MN",MN,1150,,,,,,1100-1159,1647,,,,,,1600-1659,1.0,A,0.0,177.0,,,1276.0,6,,,,,
279061,4,3,7,2022-04-03,B6,N929JB,1573,11618,EWR,"Newark, NJ",NJ,12892,LAX,"Los Angeles, CA",CA,1927,2011.0,44.0,44.0,1.0,2.0,1900-1959,2246,2320.0,34.0,34.0,1.0,2.0,2200-2259,0.0,,0.0,379.0,369.0,335.0,2454.0,10,34.0,0.0,0.0,0.0,0.0
387549,4,13,3,2022-04-13,MQ,N680AE,3573,13930,ORD,"Chicago, IL",IL,11721,FNT,"Flint, MI",MI,2015,2035.0,20.0,20.0,1.0,1.0,2000-2059,2220,2248.0,27.0,27.0,1.0,1.0,2200-2259,0.0,,0.0,65.0,72.0,39.0,223.0,1,0.0,4.0,7.0,0.0,16.0
338343,4,2,6,2022-04-02,DL,N339NW,2322,10397,ATL,"Atlanta, GA",GA,14683,SAT,"San Antonio, TX",TX,1420,1416.0,-4.0,0.0,0.0,-1.0,1400-1459,1555,1600.0,5.0,5.0,0.0,0.0,1500-1559,0.0,,0.0,155.0,164.0,127.0,874.0,4,,,,,
242317,4,4,1,2022-04-04,AS,N535AS,871,12173,HNL,"Honolulu, HI",HI,10299,ANC,"Anchorage, AK",AK,2055,2104.0,9.0,9.0,0.0,0.0,2000-2059,507,439.0,-28.0,0.0,0.0,-2.0,0001-0559,0.0,,0.0,372.0,335.0,317.0,2776.0,11,,,,,
522491,4,27,3,2022-04-27,UA,N35204,1177,11292,DEN,"Denver, CO",CO,10397,ATL,"Atlanta, GA",GA,1035,1034.0,-1.0,0.0,0.0,-1.0,1000-1059,1531,1513.0,-18.0,0.0,0.0,-2.0,1500-1559,0.0,,0.0,176.0,159.0,138.0,1199.0,5,,,,,
248813,4,14,4,2022-04-14,AS,N281AK,827,14747,SEA,"Seattle, WA",WA,14570,RNO,"Reno, NV",NV,2025,2023.0,-2.0,0.0,0.0,-1.0,2000-2059,2208,2208.0,1.0,1.0,0.0,0.0,2200-2259,0.0,,0.0,103.0,106.0,74.0,564.0,3,,,,,
1472,4,1,5,2022-04-01,C5,N12145,4371,12266,IAH,"Houston, TX",TX,12951,LFT,"Lafayette, LA",LA,1015,1036.0,21.0,21.0,1.0,1.0,1000-1059,1120,1130.0,10.0,10.0,0.0,0.0,1100-1159,0.0,,0.0,65.0,54.0,33.0,201.0,1,,,,,
245709,4,9,6,2022-04-09,AS,N296AK,1480,10693,BNA,"Nashville, TN",TN,14747,SEA,"Seattle, WA",WA,1725,1756.0,31.0,31.0,1.0,2.0,1700-1759,2035,2052.0,18.0,18.0,1.0,1.0,2000-2059,0.0,,0.0,310.0,297.0,273.0,1978.0,8,18.0,0.0,0.0,0.0,0.0
443215,4,4,1,2022-04-04,OH,N585NN,5616,10785,BTV,"Burlington, VT",VT,11057,CLT,"Charlotte, NC",NC,1310,1302.0,-8.0,0.0,0.0,-1.0,1300-1359,1539,1516.0,-23.0,0.0,0.0,-2.0,1500-1559,0.0,,0.0,149.0,134.0,113.0,761.0,4,,,,,
559853,4,17,7,2022-04-17,UA,N77012,348,13830,OGG,"Kahului, HI",HI,13930,ORD,"Chicago, IL",IL,1720,1720.0,0.0,0.0,0.0,0.0,1700-1759,617,605.0,-12.0,0.0,0.0,-1.0,0600-0659,0.0,,0.0,477.0,465.0,442.0,4184.0,11,,,,,
22148,4,20,3,2022-04-20,WN,N8502Z,1497,10821,BWI,"Baltimore, MD",MD,11259,DAL,"Dallas, TX",TX,950,1031.0,41.0,41.0,1.0,2.0,0900-0959,1215,1253.0,38.0,38.0,1.0,2.0,1200-1259,0.0,,0.0,205.0,202.0,185.0,1209.0,5,38.0,0.0,0.0,0.0,0.0
397601,4,5,2,2022-04-05,MQ,N233NN,3877,11540,ELP,"El Paso, TX",TX,13930,ORD,"Chicago, IL",IL,1308,1336.0,28.0,28.0,1.0,1.0,1300-1359,1714,1732.0,18.0,18.0,1.0,1.0,1700-1759,0.0,,0.0,186.0,176.0,147.0,1236.0,5,0.0,0.0,0.0,0.0,18.0
153851,4,9,6,2022-04-09,9E,N538CA,4989,14524,RIC,"Richmond, VA",VA,12953,LGA,"New York, NY",NY,1310,1402.0,52.0,52.0,1.0,3.0,1300-1359,1424,1512.0,48.0,48.0,1.0,3.0,1400-1459,0.0,,0.0,74.0,70.0,48.0,292.0,2,0.0,0.0,0.0,0.0,48.0
73883,4,16,6,2022-04-16,WN,N8816Q,1118,11292,DEN,"Denver, CO",CO,12339,IND,"Indianapolis, IN",IN,1705,1848.0,103.0,103.0,1.0,6.0,1700-1759,2125,2252.0,86.0,86.0,1.0,5.0,2100-2159,0.0,,0.0,140.0,123.0,106.0,977.0,4,86.0,0.0,0.0,0.0,0.0
242679,4,5,2,2022-04-05,AS,N361VA,196,11259,DAL,"Dallas, TX",TX,12892,LAX,"Los Angeles, CA",CA,1710,1705.0,-5.0,0.0,0.0,-1.0,1700-1759,1845,1828.0,-17.0,0.0,0.0,-2.0,1800-1859,0.0,,0.0,215.0,203.0,176.0,1246.0,5,,,,,
305521,4,18,1,2022-04-18,DL,N335NB,2866,15016,STL,"St. Louis, MO",MO,14869,SLC,"Salt Lake City, UT",UT,615,612.0,-3.0,0.0,0.0,-1.0,0600-0659,830,821.0,-9.0,0.0,0.0,-1.0,0800-0859,0.0,,0.0,195.0,189.0,175.0,1156.0,5,,,,,
330043,4,13,3,2022-04-13,DL,N850DN,1049,14869,SLC,"Salt Lake City, UT",UT,12892,LAX,"Los Angeles, CA",CA,2247,2340.0,54.0,54.0,1.0,3.0,2200-2259,2346,38.0,52.0,52.0,1.0,3.0,2300-2359,0.0,,0.0,119.0,117.0,95.0,590.0,3,49.0,0.0,0.0,0.0,3.0
4298,4,1,5,2022-04-01,WN,N249WN,1322,13871,OMA,"Omaha, NE",NE,11278,DCA,"Washington, DC",VA,1230,1256.0,26.0,26.0,1.0,1.0,1200-1259,1555,1620.0,25.0,25.0,1.0,1.0,1500-1559,0.0,,0.0,145.0,144.0,124.0,1012.0,5,19.0,0.0,0.0,0.0,6.0
187506,4,13,3,2022-04-13,AA,N702UW,626,11057,CLT,"Charlotte, NC",NC,14100,PHL,"Philadelphia, PA",PA,1306,1331.0,25.0,25.0,1.0,1.0,1300-1359,1442,1502.0,20.0,20.0,1.0,1.0,1400-1459,0.0,,0.0,96.0,91.0,66.0,449.0,2,20.0,0.0,0.0,0.0,0.0
156257,4,10,7,2022-04-10,9E,N195PQ,5094,15016,STL,"St. Louis, MO",MO,12953,LGA,"New York, NY",NY,1440,1439.0,-1.0,0.0,0.0,-1.0,1400-1459,1759,1759.0,0.0,0.0,0.0,0.0,1700-1759,0.0,,0.0,139.0,140.0,121.0,888.0,4,,,,,
540770,4,7,4,2022-04-07,UA,N73276,2630,14771,SFO,"San Francisco, CA",CA,14100,PHL,"Philadelphia, PA",PA,2312,153.0,161.0,161.0,1.0,10.0,2300-2359,744,1015.0,151.0,151.0,1.0,10.0,0700-0759,0.0,,0.0,332.0,322.0,293.0,2520.0,11,2.0,0.0,0.0,0.0,149.0
45629,4,13,3,2022-04-13,WN,N959WN,2676,13502,MTJ,"Montrose/Delta, CO",CO,11292,DEN,"Denver, CO",CO,1310,1305.0,-5.0,0.0,0.0,-1.0,1300-1359,1415,1444.0,29.0,29.0,1.0,1.0,1400-1459,0.0,,0.0,65.0,99.0,42.0,196.0,1,0.0,0.0,29.0,0.0,0.0
369039,4,1,5,2022-04-01,G4,305NV,1454,15370,TUL,"Tulsa, OK",OK,12892,LAX,"Los Angeles, CA",CA,1135,1144.0,9.0,9.0,0.0,0.0,1100-1159,1304,1256.0,-8.0,0.0,0.0,-1.0,1300-1359,0.0,,0.0,209.0,192.0,175.0,1283.0,6,,,,,
198112,4,21,4,2022-04-21,AA,N192UW,2031,11057,CLT,"Charlotte, NC",NC,12953,LGA,"New York, NY",NY,2147,2144.0,-4.0,0.0,0.0,-1.0,2100-2159,2330,2328.0,-1.0,0.0,0.0,-1.0,2300-2359,0.0,,0.0,103.0,106.0,80.0,544.0,3,,,,,
321555,4,26,2,2022-04-26,DL,N697DL,2133,10397,ATL,"Atlanta, GA",GA,14635,RSW,"Fort Myers, FL",FL,815,807.0,-8.0,0.0,0.0,-1.0,0800-0859,954,933.0,-21.0,0.0,0.0,-2.0,0900-0959,0.0,,0.0,99.0,86.0,72.0,515.0,3,,,,,
282250,4,3,7,2022-04-03,B6,N986JB,287,10721,BOS,"Boston, MA",MA,12892,LAX,"Los Angeles, CA",CA,600,654.0,54.0,54.0,1.0,3.0,0600-0659,918,1017.0,59.0,59.0,1.0,3.0,0900-0959,0.0,,0.0,378.0,383.0,356.0,2612.0,11,54.0,0.0,5.0,0.0,0.0
293542,4,18,1,2022-04-18,DL,N332DN,1474,10721,BOS,"Boston, MA",MA,13204,MCO,"Orlando, FL",FL,1538,1609.0,31.0,31.0,1.0,2.0,1500-1559,1849,1921.0,32.0,32.0,1.0,2.0,1800-1859,0.0,,0.0,191.0,192.0,168.0,1121.0,5,0.0,0.0,1.0,0.0,31.0
398882,4,13,3,2022-04-13,MQ,N271NN,3927,11298,DFW,"Dallas/Fort Worth, TX",TX,12945,LEX,"Lexington, KY",KY,2037,,,,,,2000-2059,2349,,,,,,2300-2359,1.0,C,0.0,132.0,,,785.0,4,,,,,
173312,4,11,1,2022-04-11,AA,N845NN,1530,12953,LGA,"New York, NY",NY,13303,MIA,"Miami, FL",FL,759,802.0,3.0,3.0,0.0,0.0,0700-0759,1115,1102.0,-13.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,196.0,180.0,146.0,1096.0,5,,,,,
452105,4,26,2,2022-04-26,OO,N192SY,3376,14747,SEA,"Seattle, WA",WA,14698,SBP,"San Luis Obispo, CA",CA,1120,1115.0,-5.0,0.0,0.0,-1.0,1100-1159,1344,1338.0,-6.0,0.0,0.0,-1.0,1300-1359,0.0,,0.0,144.0,143.0,126.0,847.0,4,,,,,
457362,4,11,1,2022-04-11,OO,N120SY,5465,14679,SAN,"San Diego, CA",CA,12892,LAX,"Los Angeles, CA",CA,2036,2232.0,115.0,115.0,1.0,7.0,2000-2059,2137,2336.0,118.0,118.0,1.0,7.0,2100-2159,0.0,,0.0,61.0,64.0,28.0,109.0,1,118.0,0.0,0.0,0.0,0.0
445572,4,21,4,2022-04-21,OO,N778SK,3194,14794,SGU,"St. George, UT",UT,14107,PHX,"Phoenix, AZ",AZ,1120,1156.0,36.0,36.0,1.0,2.0,1100-1159,1123,1225.0,62.0,62.0,1.0,4.0,1100-1159,0.0,,0.0,63.0,89.0,50.0,262.0,2,0.0,0.0,0.0,0.0,62.0
358323,4,5,2,2022-04-05,F9,N328FR,1238,13204,MCO,"Orlando, FL",FL,10721,BOS,"Boston, MA",MA,530,536.0,6.0,6.0,0.0,0.0,0001-0559,827,904.0,37.0,37.0,1.0,2.0,0800-0859,0.0,,0.0,177.0,208.0,156.0,1121.0,5,6.0,0.0,31.0,0.0,0.0
422884,4,1,5,2022-04-01,NK,N934NK,703,11618,EWR,"Newark, NJ",NJ,12266,IAH,"Houston, TX",TX,1122,1152.0,30.0,30.0,1.0,2.0,1100-1159,1418,1449.0,31.0,31.0,1.0,2.0,1400-1459,0.0,,0.0,236.0,237.0,215.0,1400.0,6,30.0,0.0,1.0,0.0,0.0
291917,4,18,1,2022-04-18,DL,N345NB,1423,13487,MSP,"Minneapolis, MN",MN,15016,STL,"St. Louis, MO",MO,2135,2324.0,110.0,110.0,1.0,7.0,2100-2159,2304,52.0,108.0,108.0,1.0,7.0,2300-2359,0.0,,0.0,89.0,87.0,55.0,448.0,2,108.0,0.0,0.0,0.0,0.0
33984,4,3,7,2022-04-03,WN,N968WN,1963,14107,PHX,"Phoenix, AZ",AZ,10140,ABQ,"Albuquerque, NM",NM,1145,1241.0,56.0,56.0,1.0,3.0,1100-1159,1350,1438.0,48.0,48.0,1.0,3.0,1300-1359,0.0,,0.0,65.0,57.0,45.0,328.0,2,0.0,0.0,0.0,0.0,48.0
370410,4,10,7,2022-04-10,G4,272NV,1016,11986,GRR,"Grand Rapids, MI",MI,14082,PGD,"Punta Gorda, FL",FL,1414,1434.0,20.0,20.0,1.0,1.0,1400-1459,1657,1741.0,44.0,44.0,1.0,2.0,1600-1659,0.0,,0.0,163.0,187.0,138.0,1118.0,5,9.0,0.0,24.0,0.0,11.0
94750,4,18,1,2022-04-18,WN,N224WN,2689,10423,AUS,"Austin, TX",TX,12889,LAS,"Las Vegas, NV",NV,1830,1930.0,60.0,60.0,1.0,4.0,1800-1859,1920,2026.0,66.0,66.0,1.0,4.0,1900-1959,0.0,,0.0,170.0,176.0,159.0,1090.0,5,3.0,0.0,6.0,0.0,57.0
252747,4,20,3,2022-04-20,AS,N569AS,1443,14057,PDX,"Portland, OR",OR,14679,SAN,"San Diego, CA",CA,600,558.0,-2.0,0.0,0.0,-1.0,0600-0659,820,829.0,9.0,9.0,0.0,0.0,0800-0859,0.0,,0.0,140.0,151.0,124.0,933.0,4,,,,,
268908,4,3,7,2022-04-03,B6,N516JB,2157,12953,LGA,"New York, NY",NY,11292,DEN,"Denver, CO",CO,730,,,,,,0700-0759,949,,,,,,0900-0959,1.0,B,0.0,259.0,,,1620.0,7,,,,,
312522,4,17,7,2022-04-17,DL,N116DN,817,10821,BWI,"Baltimore, MD",MD,14869,SLC,"Salt Lake City, UT",UT,725,721.0,-4.0,0.0,0.0,-1.0,0700-0759,1013,1037.0,24.0,24.0,1.0,1.0,1000-1059,0.0,,0.0,288.0,316.0,295.0,1865.0,8,0.0,0.0,24.0,0.0,0.0
535039,4,23,6,2022-04-23,UA,N17730,2322,13930,ORD,"Chicago, IL",IL,14908,SNA,"Santa Ana, CA",CA,912,921.0,9.0,9.0,0.0,0.0,0900-0959,1136,1158.0,22.0,22.0,1.0,1.0,1100-1159,0.0,,0.0,264.0,277.0,243.0,1726.0,7,9.0,0.0,13.0,0.0,0.0
519289,4,29,5,2022-04-29,UA,N34455,683,11292,DEN,"Denver, CO",CO,14771,SFO,"San Francisco, CA",CA,1554,1552.0,-2.0,0.0,0.0,-1.0,1500-1559,1739,1729.0,-10.0,0.0,0.0,-1.0,1700-1759,0.0,,0.0,165.0,157.0,140.0,967.0,4,,,,,
576654,4,11,1,2022-04-11,ZW,N464AW,3850,12264,IAD,"Washington, DC",VA,10990,CHO,"Charlottesville, VA",VA,1310,1339.0,29.0,29.0,1.0,1.0,1300-1359,1356,1419.0,23.0,23.0,1.0,1.0,1300-1359,0.0,,0.0,46.0,40.0,18.0,77.0,1,23.0,0.0,0.0,0.0,0.0
125583,4,4,1,2022-04-04,YX,N422YX,4812,11423,DSM,"Des Moines, IA",IA,11278,DCA,"Washington, DC",VA,602,552.0,-10.0,0.0,0.0,-1.0,0600-0659,929,911.0,-18.0,0.0,0.0,-2.0,0900-0959,0.0,,0.0,147.0,139.0,120.0,897.0,4,,,,,
61373,4,6,3,2022-04-06,WN,N8606C,537,10397,ATL,"Atlanta, GA",GA,13244,MEM,"Memphis, TN",TN,1945,2116.0,92.0,92.0,1.0,6.0,1900-1959,2005,2134.0,89.0,89.0,1.0,5.0,2000-2059,0.0,,0.0,80.0,77.0,56.0,332.0,2,19.0,0.0,0.0,0.0,70.0
35480,4,4,1,2022-04-04,WN,N7738A,2627,10821,BWI,"Baltimore, MD",MD,11697,FLL,"Fort Lauderdale, FL",FL,2035,2038.0,3.0,3.0,0.0,0.0,2000-2059,2305,2300.0,-5.0,0.0,0.0,-1.0,2300-2359,0.0,,0.0,150.0,142.0,126.0,925.0,4,,,,,
458846,4,27,3,2022-04-27,OO,N919SW,4719,11292,DEN,"Denver, CO",CO,10279,AMA,"Amarillo, TX",TX,1748,1844.0,56.0,56.0,1.0,3.0,1700-1759,2020,2104.0,45.0,45.0,1.0,3.0,2000-2059,0.0,,0.0,92.0,81.0,62.0,359.0,2,0.0,0.0,0.0,0.0,45.0
178369,4,8,5,2022-04-08,AA,N163AA,1752,14100,PHL,"Philadelphia, PA",PA,11298,DFW,"Dallas/Fort Worth, TX",TX,1557,1827.0,150.0,150.0,1.0,10.0,1500-1559,1855,2052.0,118.0,118.0,1.0,7.0,1800-1859,0.0,,0.0,238.0,206.0,182.0,1303.0,6,11.0,0.0,0.0,0.0,107.0
475945,4,17,7,2022-04-17,OO,N764SK,3271,14588,ROW,"Roswell, NM",NM,11298,DFW,"Dallas/Fort Worth, TX",TX,650,1208.0,318.0,318.0,1.0,12.0,0600-0659,923,1505.0,342.0,342.0,1.0,12.0,0900-0959,0.0,,0.0,93.0,117.0,59.0,435.0,2,342.0,0.0,0.0,0.0,0.0
154666,4,4,1,2022-04-04,9E,N600LR,5027,11193,CVG,"Cincinnati, OH",KY,11433,DTW,"Detroit, MI",MI,600,601.0,1.0,1.0,0.0,0.0,0600-0659,716,710.0,-6.0,0.0,0.0,-1.0,0700-0759,0.0,,0.0,76.0,69.0,44.0,229.0,1,,,,,
268959,4,27,3,2022-04-27,B6,N516JB,2086,13303,MIA,"Miami, FL",FL,10529,BDL,"Hartford, CT",CT,1225,1227.0,2.0,2.0,0.0,0.0,1200-1259,1532,1534.0,2.0,2.0,0.0,0.0,1500-1559,0.0,,0.0,187.0,187.0,152.0,1194.0,5,,,,,
154549,4,21,4,2022-04-21,9E,N480PX,5024,10257,ALB,"Albany, NY",NY,12953,LGA,"New York, NY",NY,1152,1143.0,-9.0,0.0,0.0,-1.0,1100-1159,1249,1259.0,10.0,10.0,0.0,0.0,1200-1259,0.0,,0.0,57.0,76.0,32.0,136.0,1,,,,,
285964,4,25,1,2022-04-25,DL,N812NW,387,14869,SLC,"Salt Lake City, UT",UT,10397,ATL,"Atlanta, GA",GA,1135,1129.0,-6.0,0.0,0.0,-1.0,1100-1159,1700,1659.0,-1.0,0.0,0.0,-1.0,1700-1759,0.0,,0.0,205.0,210.0,180.0,1590.0,7,,,,,
77569,4,24,7,2022-04-24,WN,N566WN,1008,10821,BWI,"Baltimore, MD",MD,12191,HOU,"Houston, TX",TX,1350,1413.0,23.0,23.0,1.0,1.0,1300-1359,1620,1605.0,-15.0,0.0,0.0,-1.0,1600-1659,0.0,,0.0,210.0,172.0,161.0,1246.0,5,,,,,
419513,4,11,1,2022-04-11,NK,N632NK,363,10397,ATL,"Atlanta, GA",GA,12266,IAH,"Houston, TX",TX,710,818.0,68.0,68.0,1.0,4.0,0700-0759,833,946.0,73.0,73.0,1.0,4.0,0800-0859,0.0,,0.0,143.0,148.0,122.0,689.0,3,68.0,0.0,5.0,0.0,0.0
147779,4,5,2,2022-04-05,9E,N927XJ,4734,11995,GSO,"Greensboro/High Point, NC",NC,11433,DTW,"Detroit, MI",MI,1810,1950.0,100.0,100.0,1.0,6.0,1800-1859,2000,2136.0,95.0,95.0,1.0,6.0,2000-2059,0.0,,0.0,110.0,105.0,69.0,460.0,2,0.0,0.0,0.0,0.0,95.0
387198,4,22,5,2022-04-22,MQ,N201NN,3562,11193,CVG,"Cincinnati, OH",KY,13303,MIA,"Miami, FL",FL,1214,1229.0,15.0,15.0,1.0,1.0,1200-1259,1450,1505.0,15.0,15.0,1.0,1.0,1400-1459,0.0,,0.0,156.0,156.0,134.0,948.0,4,1.0,0.0,0.0,0.0,14.0
362119,4,14,4,2022-04-14,F9,N716FR,1286,14107,PHX,"Phoenix, AZ",AZ,13204,MCO,"Orlando, FL",FL,2350,2356.0,7.0,7.0,0.0,0.0,2300-2359,652,704.0,12.0,12.0,0.0,0.0,0600-0659,0.0,,0.0,242.0,247.0,193.0,1849.0,8,,,,,
237633,4,30,6,2022-04-30,PT,N629AE,6154,11057,CLT,"Charlotte, NC",NC,10980,CHA,"Chattanooga, TN",TN,1644,1640.0,-4.0,0.0,0.0,-1.0,1600-1659,1804,1831.0,27.0,27.0,1.0,1.0,1800-1859,0.0,,0.0,80.0,111.0,41.0,241.0,1,0.0,0.0,27.0,0.0,0.0
462497,4,14,4,2022-04-14,OO,N122SY,5413,13930,ORD,"Chicago, IL",IL,10140,ABQ,"Albuquerque, NM",NM,921,918.0,-3.0,0.0,0.0,-1.0,0900-0959,1138,1149.0,11.0,11.0,0.0,0.0,1100-1159,0.0,,0.0,197.0,211.0,176.0,1118.0,5,,,,,
269473,4,14,4,2022-04-14,B6,N529JB,686,14492,RDU,"Raleigh/Durham, NC",NC,12478,JFK,"New York, NY",NY,1126,1153.0,27.0,27.0,1.0,1.0,1100-1159,1259,1327.0,28.0,28.0,1.0,1.0,1200-1259,0.0,,0.0,93.0,94.0,67.0,427.0,2,0.0,0.0,1.0,0.0,27.0
238715,4,5,2,2022-04-05,PT,N659AE,6195,14524,RIC,"Richmond, VA",VA,13930,ORD,"Chicago, IL",IL,900,850.0,-10.0,0.0,0.0,-1.0,0900-0959,1016,1015.0,-1.0,0.0,0.0,-1.0,1000-1059,0.0,,0.0,136.0,145.0,112.0,642.0,3,,,,,
92229,4,17,7,2022-04-17,WN,N8676A,2760,11603,EUG,"Eugene, OR",OR,13796,OAK,"Oakland, CA",CA,1605,1608.0,3.0,3.0,0.0,0.0,1600-1659,1735,1735.0,0.0,0.0,0.0,0.0,1700-1759,0.0,,0.0,90.0,87.0,70.0,445.0,2,,,,,
410495,4,4,1,2022-04-04,NK,N524NK,1345,13487,MSP,"Minneapolis, MN",MN,14107,PHX,"Phoenix, AZ",AZ,939,,,,,,0900-0959,1105,,,,,,1100-1159,1.0,B,0.0,206.0,,,1276.0,6,,,,,
557244,4,18,1,2022-04-18,UA,N31412,1974,12266,IAH,"Houston, TX",TX,14893,SMF,"Sacramento, CA",CA,959,959.0,0.0,0.0,0.0,0.0,0900-0959,1215,1210.0,-5.0,0.0,0.0,-1.0,1200-1259,0.0,,0.0,256.0,251.0,231.0,1609.0,7,,,,,
160866,4,26,2,2022-04-26,9E,N834AY,5300,11433,DTW,"Detroit, MI",MI,10469,AZO,"Kalamazoo, MI",MI,1605,1605.0,0.0,0.0,0.0,0.0,1600-1659,1656,1646.0,-10.0,0.0,0.0,-1.0,1600-1659,0.0,,0.0,51.0,41.0,27.0,113.0,1,,,,,
322995,4,6,3,2022-04-06,DL,N368NW,2928,10397,ATL,"Atlanta, GA",GA,10257,ALB,"Albany, NY",NY,942,1018.0,36.0,36.0,1.0,2.0,0900-0959,1158,1230.0,32.0,32.0,1.0,2.0,1100-1159,0.0,,0.0,136.0,132.0,106.0,853.0,4,32.0,0.0,0.0,0.0,0.0
559698,4,17,7,2022-04-17,UA,N76505,531,13930,ORD,"Chicago, IL",IL,10994,CHS,"Charleston, SC",SC,857,852.0,-5.0,0.0,0.0,-1.0,0800-0859,1214,1157.0,-17.0,0.0,0.0,-2.0,1200-1259,0.0,,0.0,137.0,125.0,95.0,760.0,4,,,,,
13971,4,11,1,2022-04-11,WN,N8675A,469,11057,CLT,"Charlotte, NC",NC,13232,MDW,"Chicago, IL",IL,530,526.0,-4.0,0.0,0.0,-1.0,0001-0559,635,616.0,-19.0,0.0,0.0,-2.0,0600-0659,0.0,,0.0,125.0,110.0,89.0,584.0,3,,,,,
188214,4,7,4,2022-04-07,AA,N314RH,651,14771,SFO,"San Francisco, CA",CA,13303,MIA,"Miami, FL",FL,745,825.0,40.0,40.0,1.0,2.0,0700-0759,1620,1645.0,25.0,25.0,1.0,1.0,1600-1659,0.0,,0.0,335.0,320.0,289.0,2584.0,11,0.0,0.0,25.0,0.0,0.0
79354,4,24,7,2022-04-24,WN,N8621A,1801,13495,MSY,"New Orleans, LA",LA,10423,AUS,"Austin, TX",TX,1445,1451.0,6.0,6.0,0.0,0.0,1400-1459,1615,1615.0,0.0,0.0,0.0,0.0,1600-1659,0.0,,0.0,90.0,84.0,63.0,444.0,2,,,,,
40220,4,12,2,2022-04-12,WN,N570WN,581,10821,BWI,"Baltimore, MD",MD,10994,CHS,"Charleston, SC",SC,835,828.0,-7.0,0.0,0.0,-1.0,0800-0859,1025,955.0,-30.0,0.0,0.0,-2.0,1000-1059,0.0,,0.0,110.0,87.0,74.0,472.0,2,,,,,
16187,4,11,1,2022-04-11,WN,N906WN,6510,14635,RSW,"Fort Myers, FL",FL,13232,MDW,"Chicago, IL",IL,1055,1100.0,5.0,5.0,0.0,0.0,1000-1059,1255,1242.0,-13.0,0.0,0.0,-1.0,1200-1259,0.0,,0.0,180.0,162.0,147.0,1105.0,5,,,,,
240386,4,1,5,2022-04-01,AS,N913AK,889,14057,PDX,"Portland, OR",OR,12173,HNL,"Honolulu, HI",HI,800,809.0,9.0,9.0,0.0,0.0,0800-0859,1110,1143.0,33.0,33.0,1.0,2.0,1100-1159,0.0,,0.0,370.0,394.0,354.0,2604.0,11,9.0,0.0,24.0,0.0,0.0
246218,4,10,7,2022-04-10,AS,N431AS,923,14107,PHX,"Phoenix, AZ",AZ,14747,SEA,"Seattle, WA",WA,530,523.0,-7.0,0.0,0.0,-1.0,0001-0559,835,902.0,27.0,27.0,1.0,1.0,0800-0859,0.0,,0.0,185.0,219.0,181.0,1107.0,5,0.0,0.0,27.0,0.0,0.0
445806,4,13,3,2022-04-13,OO,N604SK,6247,11150,CSG,"Columbus, GA",GA,11298,DFW,"Dallas/Fort Worth, TX",TX,827,818.0,-9.0,0.0,0.0,-1.0,0800-0859,949,1208.0,,,,,0900-0959,0.0,,1.0,142.0,,,705.0,3,,,,,
422095,4,14,4,2022-04-14,NK,N613NK,625,13204,MCO,"Orlando, FL",FL,10821,BWI,"Baltimore, MD",MD,2135,2130.0,-5.0,0.0,0.0,-1.0,2100-2159,2350,2344.0,-7.0,0.0,0.0,-1.0,2300-2359,0.0,,0.0,135.0,133.0,104.0,787.0,4,,,,,
65899,4,7,4,2022-04-07,WN,N7733B,1962,11292,DEN,"Denver, CO",CO,13232,MDW,"Chicago, IL",IL,2100,2058.0,-2.0,0.0,0.0,-1.0,2100-2159,15,15.0,0.0,0.0,0.0,0.0,0001-0559,0.0,,0.0,135.0,137.0,114.0,895.0,4,,,,,
70652,4,15,5,2022-04-15,WN,N714CB,2684,11292,DEN,"Denver, CO",CO,12953,LGA,"New York, NY",NY,600,559.0,-1.0,0.0,0.0,-1.0,0600-0659,1140,1113.0,-27.0,0.0,0.0,-2.0,1100-1159,0.0,,0.0,220.0,194.0,176.0,1620.0,7,,,,,
