,Month,DayofMonth,DayOfWeek,FlightDate,Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,Origin,OriginCityName,OriginState,DestAirportID,Dest,DestCityName,DestState,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,selection
446483,2,12,6,2022-02-12,MQ,N257NN,3847,15919,XNA,"Fayetteville, AR",AR,11298,DFW,"Dallas/Fort Worth, TX",TX,814,811.0,-3.0,0.0,0.0,-1.0,0800-0859,950,934.0,-16.0,0.0,0.0,-2.0,0900-0959,0.0,,0.0,96.0,83.0,63.0,280.0,2,,,,,,0.0
164073,2,24,4,2022-02-24,AA,N125AA,1876,11292,DEN,"Denver, CO",CO,14107,PHX,"Phoenix, AZ",AZ,1547,1632.0,45.0,45.0,1.0,3.0,1500-1559,1745,1826.0,41.0,41.0,1.0,2.0,1700-1759,0.0,,0.0,118.0,114.0,95.0,602.0,3,41.0,0.0,0.0,0.0,0.0,1.0
292652,2,21,1,2022-02-21,DL,N123DQ,1116,14747,SEA,"Seattle, WA",WA,13930,ORD,"Chicago, IL",IL,1759,1806.0,7.0,7.0,0.0,0.0,1700-1759,2351,2352.0,2.0,2.0,0.0,0.0,2300-2359,0.0,,0.0,232.0,227.0,198.0,1721.0,7,,,,,,0.0
327547,2,18,5,2022-02-18,F9,N332FR,2510,15304,TPA,"Tampa, FL",FL,11986,GRR,"Grand Rapids, MI",MI,1442,1620.0,98.0,98.0,1.0,6.0,1400-1459,1731,2020.0,169.0,169.0,1.0,11.0,1700-1759,0.0,,0.0,169.0,240.0,142.0,1041.0,5,54.0,0.0,71.0,0.0,44.0,1.0
59262,2,2,3,2022-02-02,WN,N749SW,2290,14831,SJC,"San Jose, CA",CA,12954,LGB,"Long Beach, CA",CA,700,653.0,-7.0,0.0,0.0,-1.0,0700-0759,820,801.0,-19.0,0.0,0.0,-2.0,0800-0859,0.0,,0.0,80.0,68.0,53.0,324.0,2,,,,,,0.0
159735,2,22,2,2022-02-22,AA,N965AN,1734,13303,MIA,"Miami, FL",FL,13204,MCO,"Orlando, FL",FL,1341,1336.0,-5.0,0.0,0.0,-1.0,1300-1359,1452,1436.0,-16.0,0.0,0.0,-2.0,1400-1459,0.0,,0.0,71.0,60.0,39.0,192.0,1,,,,,,0.0
251899,2,21,1,2022-02-21,B6,N3065J,521,10721,BOS,"Boston, MA",MA,14027,PBI,"West Palm Beach/Palm Beach, FL",FL,1911,2204.0,173.0,173.0,1.0,11.0,1900-1959,2234,111.0,157.0,157.0,1.0,10.0,2200-2259,0.0,,0.0,203.0,187.0,166.0,1197.0,5,128.0,0.0,0.0,0.0,29.0,1.0
391795,2,18,5,2022-02-18,WN,N7731A,2345,11292,DEN,"Denver, CO",CO,14771,SFO,"San Francisco, CA",CA,2215,29.0,134.0,134.0,1.0,8.0,2200-2259,5,142.0,97.0,97.0,1.0,6.0,0001-0559,0.0,,0.0,170.0,133.0,123.0,967.0,4,24.0,0.0,0.0,0.0,73.0,1.0
249506,2,18,5,2022-02-18,B6,N657JB,543,11618,EWR,"Newark, NJ",NJ,14027,PBI,"West Palm Beach/Palm Beach, FL",FL,1820,1917.0,57.0,57.0,1.0,3.0,1800-1859,2124,2248.0,85.0,85.0,1.0,5.0,2100-2159,0.0,,0.0,184.0,212.0,148.0,1023.0,5,24.0,0.0,28.0,0.0,33.0,1.0
277363,2,27,7,2022-02-27,DL,N388DN,799,12892,LAX,"Los Angeles, CA",CA,13198,MCI,"Kansas City, MO",MO,1910,1909.0,-1.0,0.0,0.0,-1.0,1900-1959,22,1.0,-21.0,0.0,0.0,-2.0,0001-0559,0.0,,0.0,192.0,172.0,157.0,1363.0,6,,,,,,0.0
246247,2,13,7,2022-02-13,B6,N267JB,2001,10792,BUF,"Buffalo, NY",NY,12478,JFK,"New York, NY",NY,710,657.0,-13.0,0.0,0.0,-1.0,0700-0759,838,855.0,17.0,17.0,1.0,1.0,0800-0859,0.0,,0.0,88.0,118.0,55.0,301.0,2,0.0,0.0,17.0,0.0,0.0,1.0
213138,2,24,4,2022-02-24,AA,N8031M,2858,15016,STL,"St. Louis, MO",MO,11298,DFW,"Dallas/Fort Worth, TX",TX,1719,1800.0,41.0,41.0,1.0,2.0,1700-1759,1922,2010.0,48.0,48.0,1.0,3.0,1900-1959,0.0,,0.0,123.0,130.0,94.0,550.0,3,41.0,0.0,7.0,0.0,0.0,1.0
120315,2,26,6,2022-02-26,WN,N7844A,3480,11540,ELP,"El Paso, TX",TX,14107,PHX,"Phoenix, AZ",AZ,1520,1520.0,0.0,0.0,0.0,0.0,1500-1559,1645,1642.0,-3.0,0.0,0.0,-1.0,1600-1659,0.0,,0.0,85.0,82.0,60.0,347.0,2,,,,,,0.0
152414,2,7,1,2022-02-07,AA,N161UW,399,11057,CLT,"Charlotte, NC",NC,12892,LAX,"Los Angeles, CA",CA,920,,,,,,0900-0959,1157,,,,,,1100-1159,1.0,A,0.0,337.0,,,2124.0,9,,,,,,
391926,2,18,5,2022-02-18,WN,N249WN,1354,11884,GEG,"Spokane, WA",WA,14893,SMF,"Sacramento, CA",CA,1320,1351.0,31.0,31.0,1.0,2.0,1300-1359,1520,1526.0,6.0,6.0,0.0,0.0,1500-1559,0.0,,0.0,120.0,95.0,86.0,649.0,3,,,,,,0.0
295795,2,18,5,2022-02-18,DL,N717JL,1247,12197,HPN,"White Plains, NY",NY,10397,ATL,"Atlanta, GA",GA,1259,1256.0,-3.0,0.0,0.0,-1.0,1200-1259,1524,1523.0,-1.0,0.0,0.0,-1.0,1500-1559,0.0,,0.0,145.0,147.0,133.0,780.0,4,,,,,,0.0
368534,2,13,7,2022-02-13,OH,N564NN,5244,14100,PHL,"Philadelphia, PA",PA,11278,DCA,"Washington, DC",VA,1953,2158.0,125.0,125.0,1.0,8.0,1900-1959,2100,2332.0,153.0,153.0,1.0,10.0,2100-2159,0.0,,0.0,67.0,95.0,28.0,119.0,1,0.0,0.0,28.0,0.0,125.0,1.0
503990,2,28,1,2022-02-28,ZW,N468AW,3937,11775,FSD,"Sioux Falls, SD",SD,13930,ORD,"Chicago, IL",IL,1030,1025.0,-5.0,0.0,0.0,-1.0,1000-1059,1218,1156.0,-22.0,0.0,0.0,-2.0,1200-1259,0.0,,0.0,108.0,91.0,70.0,463.0,2,,,,,,0.0
453736,2,22,2,2022-02-22,MQ,N239NN,4119,13486,MSO,"Missoula, MT",MT,11298,DFW,"Dallas/Fort Worth, TX",TX,1420,1416.0,-4.0,0.0,0.0,-1.0,1400-1459,1852,1823.0,-29.0,0.0,0.0,-2.0,1800-1859,0.0,,0.0,212.0,187.0,166.0,1320.0,6,,,,,,0.0
321608,2,3,4,2022-02-03,F9,,1045,11042,CLE,"Cleveland, OH",OH,13204,MCO,"Orlando, FL",FL,1616,,,,,,1600-1659,1857,,,,,,1800-1859,1.0,B,0.0,161.0,,,895.0,4,,,,,,
167270,2,7,1,2022-02-07,AA,N959NN,619,11298,DFW,"Dallas/Fort Worth, TX",TX,12953,LGA,"New York, NY",NY,1315,1423.0,68.0,68.0,1.0,4.0,1300-1359,1729,1919.0,110.0,110.0,1.0,7.0,1700-1759,0.0,,0.0,194.0,236.0,202.0,1389.0,6,0.0,0.0,42.0,0.0,68.0,1.0
301246,2,2,3,2022-02-02,DL,N927AT,2576,11433,DTW,"Detroit, MI",MI,14492,RDU,"Raleigh/Durham, NC",NC,1555,1553.0,-2.0,0.0,0.0,-1.0,1500-1559,1733,1753.0,20.0,20.0,1.0,1.0,1700-1759,0.0,,0.0,98.0,120.0,74.0,501.0,3,0.0,0.0,20.0,0.0,0.0,1.0
504957,2,26,6,2022-02-26,C5,N11193,4339,12266,IAH,"Houston, TX",TX,13256,MFE,"Mission/McAllen/Edinburg, TX",TX,1009,1022.0,13.0,13.0,0.0,0.0,1000-1059,1132,1210.0,38.0,38.0,1.0,2.0,1100-1159,0.0,,0.0,83.0,108.0,59.0,316.0,2,13.0,0.0,25.0,0.0,0.0,1.0
109907,2,16,3,2022-02-16,WN,N755SA,1617,11292,DEN,"Denver, CO",CO,11259,DAL,"Dallas, TX",TX,2020,2048.0,28.0,28.0,1.0,1.0,2000-2059,2320,6.0,46.0,46.0,1.0,3.0,2300-2359,0.0,,0.0,120.0,138.0,92.0,651.0,3,0.0,28.0,18.0,0.0,0.0,1.0
481273,2,6,7,2022-02-06,UA,N402UA,2656,15304,TPA,"Tampa, FL",FL,11618,EWR,"Newark, NJ",NJ,1915,2019.0,64.0,64.0,1.0,4.0,1900-1959,2159,2250.0,51.0,51.0,1.0,3.0,2100-2159,0.0,,0.0,164.0,151.0,125.0,997.0,4,0.0,0.0,0.0,0.0,51.0,1.0
119500,2,26,6,2022-02-26,WN,N217JC,3081,10423,AUS,"Austin, TX",TX,10693,BNA,"Nashville, TN",TN,1655,1725.0,30.0,30.0,1.0,2.0,1600-1659,1850,1914.0,24.0,24.0,1.0,1.0,1800-1859,0.0,,0.0,115.0,109.0,88.0,756.0,4,24.0,0.0,0.0,0.0,0.0,1.0
297958,2,6,7,2022-02-06,DL,N355DN,2446,10397,ATL,"Atlanta, GA",GA,13342,MKE,"Milwaukee, WI",WI,916,916.0,0.0,0.0,0.0,0.0,0900-0959,1014,958.0,-16.0,0.0,0.0,-2.0,1000-1059,0.0,,0.0,118.0,102.0,88.0,669.0,3,,,,,,0.0
327569,2,18,5,2022-02-18,F9,N338FR,2867,12391,ISP,"Islip, NY",NY,14027,PBI,"West Palm Beach/Palm Beach, FL",FL,2052,2128.0,36.0,36.0,1.0,2.0,2000-2059,2356,19.0,23.0,23.0,1.0,1.0,2300-2359,0.0,,0.0,184.0,171.0,150.0,1052.0,5,5.0,0.0,18.0,0.0,0.0,1.0
133298,2,7,1,2022-02-07,9E,N480PX,4779,11986,GRR,"Grand Rapids, MI",MI,12953,LGA,"New York, NY",NY,600,650.0,50.0,50.0,1.0,3.0,0600-0659,808,854.0,46.0,46.0,1.0,3.0,0800-0859,0.0,,0.0,128.0,124.0,82.0,618.0,3,0.0,0.0,46.0,0.0,0.0,1.0
481300,2,6,7,2022-02-06,UA,N467UA,2617,14771,SFO,"San Francisco, CA",CA,12892,LAX,"Los Angeles, CA",CA,825,901.0,36.0,36.0,1.0,2.0,0800-0859,1004,1029.0,25.0,25.0,1.0,1.0,1000-1059,0.0,,0.0,99.0,88.0,56.0,337.0,2,25.0,0.0,0.0,0.0,0.0,1.0
477323,2,22,2,2022-02-22,UA,N66808,753,13930,ORD,"Chicago, IL",IL,14771,SFO,"San Francisco, CA",CA,2003,2034.0,31.0,31.0,1.0,2.0,2000-2059,2256,2328.0,32.0,32.0,1.0,2.0,2200-2259,0.0,,0.0,293.0,294.0,260.0,1846.0,8,0.0,31.0,1.0,0.0,0.0,1.0
242690,2,8,2,2022-02-08,B6,N2002J,1284,13204,MCO,"Orlando, FL",FL,12478,JFK,"New York, NY",NY,1800,1752.0,-8.0,0.0,0.0,-1.0,1800-1859,2035,2017.0,-18.0,0.0,0.0,-2.0,2000-2059,0.0,,0.0,155.0,145.0,108.0,944.0,4,,,,,,0.0
281143,2,7,1,2022-02-07,DL,N900PC,971,14908,SNA,"Santa Ana, CA",CA,10397,ATL,"Atlanta, GA",GA,645,644.0,-1.0,0.0,0.0,-1.0,0600-0659,1354,1409.0,15.0,15.0,1.0,1.0,1300-1359,0.0,,0.0,249.0,265.0,228.0,1919.0,8,0.0,0.0,15.0,0.0,0.0,1.0
424267,2,15,2,2022-02-15,YX,N241JQ,5675,10721,BOS,"Boston, MA",MA,12953,LGA,"New York, NY",NY,1500,1450.0,-10.0,0.0,0.0,-1.0,1500-1559,1629,1601.0,-28.0,0.0,0.0,-2.0,1600-1659,0.0,,0.0,89.0,71.0,42.0,184.0,1,,,,,,0.0
32260,2,22,2,2022-02-22,OO,N127SY,4690,10599,BHM,"Birmingham, AL",AL,11292,DEN,"Denver, CO",CO,1520,1551.0,31.0,31.0,1.0,2.0,1500-1559,1742,1805.0,23.0,23.0,1.0,1.0,1700-1759,0.0,,0.0,202.0,194.0,171.0,1083.0,5,0.0,0.0,0.0,0.0,23.0,1.0
511890,2,15,2,2022-02-15,ZW,N434AW,3933,13930,ORD,"Chicago, IL",IL,10990,CHO,"Charlottesville, VA",VA,1815,1808.0,-7.0,0.0,0.0,-1.0,1800-1859,2108,2052.0,-17.0,0.0,0.0,-2.0,2100-2159,0.0,,0.0,113.0,103.0,78.0,566.0,3,,,,,,0.0
412628,2,6,7,2022-02-06,YV,N934FJ,5854,14107,PHX,"Phoenix, AZ",AZ,13158,MAF,"Midland/Odessa, TX",TX,2027,2032.0,5.0,5.0,0.0,0.0,2000-2059,2307,2312.0,6.0,6.0,0.0,0.0,2300-2359,0.0,,0.0,100.0,101.0,79.0,581.0,3,,,,,,0.0
277669,2,11,5,2022-02-11,DL,N919DU,813,13487,MSP,"Minneapolis, MN",MN,10721,BOS,"Boston, MA",MA,1306,1301.0,-5.0,0.0,0.0,-1.0,1300-1359,1644,1702.0,18.0,18.0,1.0,1.0,1600-1659,0.0,,0.0,158.0,181.0,137.0,1124.0,5,0.0,0.0,18.0,0.0,0.0,1.0
517692,2,4,5,2022-02-04,C5,N17196,4813,12266,IAH,"Houston, TX",TX,10747,BRO,"Brownsville, TX",TX,1012,1053.0,41.0,41.0,1.0,2.0,1000-1059,1142,1227.0,45.0,45.0,1.0,3.0,1100-1159,0.0,,0.0,90.0,94.0,67.0,308.0,2,41.0,0.0,4.0,0.0,0.0,1.0
504407,2,27,7,2022-02-27,G7,N565GJ,4389,13930,ORD,"Chicago, IL",IL,15096,SYR,"Syracuse, NY",NY,1045,1039.0,-6.0,0.0,0.0,-1.0,1000-1059,1335,1344.0,9.0,9.0,0.0,0.0,1300-1359,0.0,,0.0,110.0,125.0,73.0,607.0,3,,,,,,0.0
318468,2,12,6,2022-02-12,DL,N901DN,2913,14869,SLC,"Salt Lake City, UT",UT,14679,SAN,"San Diego, CA",CA,1120,1116.0,-4.0,0.0,0.0,-1.0,1100-1159,1224,1200.0,-24.0,0.0,0.0,-2.0,1200-1259,0.0,,0.0,124.0,104.0,85.0,626.0,3,,,,,,0.0
420390,2,25,5,2022-02-25,YX,N721YX,3604,14492,RDU,"Raleigh/Durham, NC",NC,13930,ORD,"Chicago, IL",IL,1708,1707.0,-1.0,0.0,0.0,-1.0,1700-1759,1855,1832.0,-23.0,0.0,0.0,-2.0,1800-1859,0.0,,0.0,167.0,145.0,116.0,646.0,3,,,,,,0.0
