,Month,DayofMonth,DayOfWeek,FlightDate,Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,Origin,OriginCityName,OriginState,DestAirportID,Dest,DestCityName,DestState,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,selection
160794,3,18,5,2022-03-18,9E,N340CA,5155,13232,MDW,"Chicago, IL",IL,11433,DTW,"Detroit, MI",MI,932,,,,,,0900-0959,1141,,,,,,1100-1159,1.0,A,0.0,69.0,,,228.0,1,,,,,,
567542,3,17,4,2022-03-17,YX,N867RW,4709,11066,CMH,"Columbus, OH",OH,12953,LGA,"New York, NY",NY,711,749.0,38.0,38.0,1.0,2.0,0700-0759,900,,,,,,0900-0959,1.0,C,0.0,109.0,,,479.0,2,,,,,,
105330,3,24,4,2022-03-24,MQ,N208AN,3652,11042,CLE,"Cleveland, OH",OH,13930,ORD,"Chicago, IL",IL,600,554.0,-6.0,0.0,0.0,-1.0,0600-0659,641,612.0,-29.0,0.0,0.0,-2.0,0600-0659,0.0,,0.0,101.0,78.0,53.0,315.0,2,,,,,,0.0
280868,3,14,1,2022-03-14,B6,N618JB,2692,13303,MIA,"Miami, FL",FL,12478,JFK,"New York, NY",NY,1515,1542.0,27.0,27.0,1.0,1.0,1500-1559,1811,1901.0,50.0,50.0,1.0,3.0,1800-1859,0.0,,0.0,176.0,199.0,142.0,1089.0,5,26.0,0.0,23.0,0.0,1.0,1.0
362466,3,14,1,2022-03-14,OO,N247SY,3933,12954,LGB,"Long Beach, CA",CA,14869,SLC,"Salt Lake City, UT",UT,1000,1107.0,67.0,67.0,1.0,4.0,1000-1059,1250,1355.0,65.0,65.0,1.0,4.0,1200-1259,0.0,,0.0,110.0,108.0,88.0,588.0,3,65.0,0.0,0.0,0.0,0.0,1.0
307675,3,18,5,2022-03-18,OH,N579NN,5611,11298,DFW,"Dallas/Fort Worth, TX",TX,15412,TYS,"Knoxville, TN",TN,1830,1843.0,13.0,13.0,0.0,0.0,1800-1859,2130,2148.0,18.0,18.0,1.0,1.0,2100-2159,0.0,,0.0,120.0,125.0,91.0,771.0,4,13.0,0.0,5.0,0.0,0.0,1.0
121827,3,18,5,2022-03-18,MQ,N207AN,4203,11298,DFW,"Dallas/Fort Worth, TX",TX,11423,DSM,"Des Moines, IA",IA,707,710.0,3.0,3.0,0.0,0.0,0700-0759,906,914.0,8.0,8.0,0.0,0.0,0900-0959,0.0,,0.0,119.0,124.0,96.0,624.0,3,,,,,,0.0
257141,3,16,3,2022-03-16,AS,N318AS,612,14747,SEA,"Seattle, WA",WA,12889,LAS,"Las Vegas, NV",NV,640,635.0,-5.0,0.0,0.0,-1.0,0600-0659,910,850.0,-20.0,0.0,0.0,-2.0,0900-0959,0.0,,0.0,150.0,135.0,115.0,867.0,4,,,,,,0.0
300815,3,9,3,2022-03-09,OH,N543EA,5359,12448,JAN,"Jackson/Vicksburg, MS",MS,11278,DCA,"Washington, DC",VA,600,551.0,-9.0,0.0,0.0,-1.0,0600-0659,926,929.0,3.0,3.0,0.0,0.0,0900-0959,0.0,,0.0,146.0,158.0,110.0,860.0,4,,,,,,0.0
263694,3,26,6,2022-03-26,AS,N238AK,1185,14747,SEA,"Seattle, WA",WA,14893,SMF,"Sacramento, CA",CA,1148,1203.0,15.0,15.0,1.0,1.0,1100-1159,1342,1404.0,22.0,22.0,1.0,1.0,1300-1359,0.0,,0.0,114.0,121.0,87.0,605.0,3,15.0,0.0,7.0,0.0,0.0,1.0
444083,3,5,6,2022-03-05,C5,N13124,4373,12266,IAH,"Houston, TX",TX,10781,BTR,"Baton Rouge, LA",LA,1520,1541.0,21.0,21.0,1.0,1.0,1500-1559,1629,1649.0,20.0,20.0,1.0,1.0,1600-1659,0.0,,0.0,69.0,68.0,38.0,253.0,2,20.0,0.0,0.0,0.0,0.0,1.0
175899,3,27,7,2022-03-27,AA,N887NN,524,13303,MIA,"Miami, FL",FL,12478,JFK,"New York, NY",NY,1200,1159.0,-1.0,0.0,0.0,-1.0,1200-1259,1459,1443.0,-16.0,0.0,0.0,-2.0,1400-1459,0.0,,0.0,179.0,164.0,141.0,1089.0,5,,,,,,0.0
104142,3,5,6,2022-03-05,MQ,N252NN,3615,11298,DFW,"Dallas/Fort Worth, TX",TX,11996,GSP,"Greer, SC",SC,2038,2037.0,-1.0,0.0,0.0,-1.0,2000-2059,2356,2348.0,-8.0,0.0,0.0,-1.0,2300-2359,0.0,,0.0,138.0,131.0,112.0,862.0,4,,,,,,0.0
532785,3,9,3,2022-03-09,WN,N773SA,2412,14492,RDU,"Raleigh/Durham, NC",NC,10423,AUS,"Austin, TX",TX,1300,1328.0,28.0,28.0,1.0,1.0,1300-1359,1530,1541.0,11.0,11.0,0.0,0.0,1500-1559,0.0,,0.0,210.0,193.0,182.0,1162.0,5,,,,,,0.0
475867,3,30,3,2022-03-30,WN,N725SW,1842,10800,BUR,"Burbank, CA",CA,14771,SFO,"San Francisco, CA",CA,700,657.0,-3.0,0.0,0.0,-1.0,0700-0759,825,808.0,-17.0,0.0,0.0,-2.0,0800-0859,0.0,,0.0,85.0,71.0,56.0,326.0,2,,,,,,0.0
125001,3,10,4,2022-03-10,NK,N512NK,1158,12892,LAX,"Los Angeles, CA",CA,15016,STL,"St. Louis, MO",MO,1815,2152.0,216.0,216.0,1.0,12.0,1800-1859,2350,333.0,223.0,223.0,1.0,12.0,2300-2359,0.0,,0.0,215.0,222.0,184.0,1592.0,7,216.0,0.0,7.0,0.0,0.0,1.0
134709,3,20,7,2022-03-20,NK,N913NK,3167,12889,LAS,"Las Vegas, NV",NV,13303,MIA,"Miami, FL",FL,1703,1701.0,-2.0,0.0,0.0,-1.0,1700-1759,36,22.0,-14.0,0.0,0.0,-1.0,0001-0559,0.0,,0.0,273.0,261.0,236.0,2174.0,9,,,,,,0.0
90315,3,19,6,2022-03-19,G4,,344,10135,ABE,"Allentown/Bethlehem/Easton, PA",PA,14761,SFB,"Sanford, FL",FL,1326,,,,,,1300-1359,1548,,,,,,1500-1559,1.0,A,0.0,142.0,,,882.0,4,,,,,,
565230,3,23,3,2022-03-23,YX,N450YX,4638,12478,JFK,"New York, NY",NY,12339,IND,"Indianapolis, IN",IN,959,949.0,-10.0,0.0,0.0,-1.0,0900-0959,1225,1201.0,-24.0,0.0,0.0,-2.0,1200-1259,0.0,,0.0,146.0,132.0,109.0,665.0,3,,,,,,0.0
168448,3,21,1,2022-03-21,9E,N904XJ,5512,12953,LGA,"New York, NY",NY,13933,ORH,"Worcester, MA",MA,1159,1159.0,0.0,0.0,0.0,0.0,1100-1159,1304,1306.0,2.0,2.0,0.0,0.0,1300-1359,0.0,,0.0,65.0,67.0,32.0,146.0,1,,,,,,0.0
428716,3,1,2,2022-03-01,UA,N406UA,1092,12266,IAH,"Houston, TX",TX,13495,MSY,"New Orleans, LA",LA,1240,1338.0,58.0,58.0,1.0,3.0,1200-1259,1357,1434.0,37.0,37.0,1.0,2.0,1300-1359,0.0,,0.0,77.0,56.0,43.0,305.0,2,0.0,0.0,0.0,0.0,37.0,1.0
346413,3,31,4,2022-03-31,OO,N608SK,3778,14869,SLC,"Salt Lake City, UT",UT,11638,FAT,"Fresno, CA",CA,2047,2046.0,-1.0,0.0,0.0,-1.0,2000-2059,2130,2126.0,-4.0,0.0,0.0,-1.0,2100-2159,0.0,,0.0,103.0,100.0,72.0,501.0,3,,,,,,0.0
77959,3,19,6,2022-03-19,F9,N714FR,2386,13577,MYR,"Myrtle Beach, SC",SC,14100,PHL,"Philadelphia, PA",PA,2035,2202.0,87.0,87.0,1.0,5.0,2000-2059,2226,2328.0,61.0,61.0,1.0,4.0,2200-2259,0.0,,0.0,111.0,85.0,65.0,473.0,2,57.0,0.0,0.0,0.0,4.0,1.0
568463,3,27,7,2022-03-27,YX,N415YX,4737,11278,DCA,"Washington, DC",VA,13495,MSY,"New Orleans, LA",LA,1344,1343.0,-1.0,0.0,0.0,-1.0,1300-1359,1546,1532.0,-14.0,0.0,0.0,-1.0,1500-1559,0.0,,0.0,182.0,169.0,144.0,969.0,4,,,,,,0.0
319476,3,27,7,2022-03-27,OO,N294SY,3618,12892,LAX,"Los Angeles, CA",CA,14771,SFO,"San Francisco, CA",CA,2130,2144.0,13.0,13.0,0.0,0.0,2100-2159,2246,2314.0,28.0,28.0,1.0,1.0,2200-2259,0.0,,0.0,76.0,91.0,58.0,337.0,2,0.0,28.0,0.0,0.0,0.0,1.0
521721,3,24,4,2022-03-24,WN,N8309C,988,11292,DEN,"Denver, CO",CO,15016,STL,"St. Louis, MO",MO,625,625.0,0.0,0.0,0.0,0.0,0600-0659,935,924.0,-11.0,0.0,0.0,-1.0,0900-0959,0.0,,0.0,130.0,119.0,104.0,770.0,4,,,,,,0.0
559247,3,21,1,2022-03-21,YV,N943LR,5863,16218,YUM,"Yuma, AZ",AZ,14107,PHX,"Phoenix, AZ",AZ,1632,1625.0,-7.0,0.0,0.0,-1.0,1600-1659,1733,1728.0,-5.0,0.0,0.0,-1.0,1700-1759,0.0,,0.0,61.0,63.0,37.0,160.0,1,,,,,,0.0
582279,3,1,2,2022-03-01,YX,N634RW,3549,13930,ORD,"Chicago, IL",IL,14685,SAV,"Savannah, GA",GA,1830,1824.0,-6.0,0.0,0.0,-1.0,1800-1859,2148,2124.0,-25.0,0.0,0.0,-2.0,2100-2159,0.0,,0.0,138.0,119.0,91.0,773.0,4,,,,,,0.0
213531,3,18,5,2022-03-18,AA,N305NX,1129,11298,DFW,"Dallas/Fort Worth, TX",TX,10693,BNA,"Nashville, TN",TN,1045,1041.0,-4.0,0.0,0.0,-1.0,1000-1059,1243,1245.0,2.0,2.0,0.0,0.0,1200-1259,0.0,,0.0,118.0,124.0,82.0,631.0,3,,,,,,0.0
197088,3,24,4,2022-03-24,AA,N901AA,739,12889,LAS,"Las Vegas, NV",NV,12892,LAX,"Los Angeles, CA",CA,1853,1920.0,27.0,27.0,1.0,1.0,1800-1859,2013,2016.0,3.0,3.0,0.0,0.0,2000-2059,0.0,,0.0,80.0,56.0,39.0,236.0,1,,,,,,0.0
142187,3,3,4,2022-03-03,NK,N662NK,960,14635,RSW,"Fort Myers, FL",FL,11042,CLE,"Cleveland, OH",OH,1545,1605.0,20.0,20.0,1.0,1.0,1500-1559,1832,1911.0,39.0,39.0,1.0,2.0,1800-1859,0.0,,0.0,167.0,186.0,141.0,1025.0,5,20.0,0.0,19.0,0.0,0.0,1.0
121091,3,4,5,2022-03-04,MQ,N280NN,4175,11042,CLE,"Cleveland, OH",OH,13930,ORD,"Chicago, IL",IL,855,854.0,-1.0,0.0,0.0,-1.0,0800-0859,940,933.0,-7.0,0.0,0.0,-1.0,0900-0959,0.0,,0.0,105.0,99.0,66.0,315.0,2,,,,,,0.0
486630,3,13,7,2022-03-13,WN,N8326F,1389,12173,HNL,"Honolulu, HI",HI,12758,KOA,"Kona, HI",HI,1900,2005.0,65.0,65.0,1.0,4.0,1900-1959,1955,2052.0,58.0,58.0,1.0,3.0,1900-1959,0.0,,0.0,55.0,48.0,30.0,163.0,1,57.0,0.0,0.0,0.0,1.0,1.0
217074,3,14,1,2022-03-14,AA,N778XF,2005,11298,DFW,"Dallas/Fort Worth, TX",TX,13256,MFE,"Mission/McAllen/Edinburg, TX",TX,1915,1942.0,27.0,27.0,1.0,1.0,1900-1959,2046,2136.0,51.0,51.0,1.0,3.0,2000-2059,0.0,,0.0,91.0,115.0,78.0,469.0,2,0.0,27.0,24.0,0.0,0.0,1.0
276382,3,1,2,2022-03-01,B6,N508JL,784,13204,MCO,"Orlando, FL",FL,12478,JFK,"New York, NY",NY,1355,1350.0,-5.0,0.0,0.0,-1.0,1300-1359,1630,1610.0,-20.0,0.0,0.0,-2.0,1600-1659,0.0,,0.0,155.0,140.0,122.0,944.0,4,,,,,,0.0
506908,3,6,7,2022-03-06,WN,N7839A,923,11697,FLL,"Fort Lauderdale, FL",FL,11292,DEN,"Denver, CO",CO,1655,1655.0,0.0,0.0,0.0,0.0,1600-1659,1935,1947.0,12.0,12.0,0.0,0.0,1900-1959,0.0,,0.0,280.0,292.0,241.0,1703.0,7,,,,,,0.0
14201,3,17,4,2022-03-17,DL,N348NB,2719,10792,BUF,"Buffalo, NY",NY,11433,DTW,"Detroit, MI",MI,615,641.0,26.0,26.0,1.0,1.0,0600-0659,725,742.0,17.0,17.0,1.0,1.0,0700-0759,0.0,,0.0,70.0,61.0,41.0,241.0,1,17.0,0.0,0.0,0.0,0.0,1.0
127244,3,2,3,2022-03-02,NK,N522NK,135,13487,MSP,"Minneapolis, MN",MN,13204,MCO,"Orlando, FL",FL,1550,1550.0,0.0,0.0,0.0,0.0,1500-1559,1959,1949.0,-10.0,0.0,0.0,-1.0,1900-1959,0.0,,0.0,189.0,179.0,156.0,1310.0,6,,,,,,0.0
461479,3,12,6,2022-03-12,WN,N7884G,3226,13342,MKE,"Milwaukee, WI",WI,15304,TPA,"Tampa, FL",FL,1335,1620.0,165.0,165.0,1.0,11.0,1300-1359,1705,1942.0,157.0,157.0,1.0,10.0,1700-1759,0.0,,0.0,150.0,142.0,129.0,1075.0,5,4.0,0.0,0.0,0.0,153.0,1.0
460717,3,12,6,2022-03-12,WN,N8815L,3038,12391,ISP,"Islip, NY",NY,14027,PBI,"West Palm Beach/Palm Beach, FL",FL,1645,1728.0,43.0,43.0,1.0,2.0,1600-1659,1930,2152.0,143.0,143.0,1.0,9.0,1900-1959,0.0,,0.0,165.0,265.0,173.0,1052.0,5,43.0,0.0,100.0,0.0,0.0,1.0
135273,3,16,3,2022-03-16,NK,N943NK,3317,11042,CLE,"Cleveland, OH",OH,15304,TPA,"Tampa, FL",FL,833,827.0,-6.0,0.0,0.0,-1.0,0800-0859,1105,1050.0,-15.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,152.0,143.0,128.0,927.0,4,,,,,,0.0
19672,3,21,1,2022-03-21,DL,N868DN,674,12892,LAX,"Los Angeles, CA",CA,14747,SEA,"Seattle, WA",WA,700,920.0,140.0,140.0,1.0,9.0,0700-0759,952,1211.0,139.0,139.0,1.0,9.0,0900-0959,0.0,,0.0,172.0,171.0,142.0,954.0,4,139.0,0.0,0.0,0.0,0.0,1.0
449526,3,1,2,2022-03-01,WN,N202WN,1577,14122,PIT,"Pittsburgh, PA",PA,13204,MCO,"Orlando, FL",FL,1310,1416.0,66.0,66.0,1.0,4.0,1300-1359,1535,1620.0,45.0,45.0,1.0,3.0,1500-1559,0.0,,0.0,145.0,124.0,108.0,834.0,4,11.0,0.0,0.0,0.0,34.0,1.0
434506,3,22,2,2022-03-22,C5,N14143,4272,12266,IAH,"Houston, TX",TX,10781,BTR,"Baton Rouge, LA",LA,1635,1643.0,8.0,8.0,0.0,0.0,1600-1659,1745,1807.0,22.0,22.0,1.0,1.0,1700-1759,0.0,,0.0,70.0,84.0,48.0,253.0,2,8.0,0.0,14.0,0.0,0.0,1.0
485276,3,12,6,2022-03-12,WN,N957WN,3887,15304,TPA,"Tampa, FL",FL,11278,DCA,"Washington, DC",VA,1950,2023.0,33.0,33.0,1.0,2.0,1900-1959,2205,2214.0,9.0,9.0,0.0,0.0,2200-2259,0.0,,0.0,135.0,111.0,101.0,814.0,4,,,,,,0.0
460471,3,12,6,2022-03-12,WN,N8673F,2422,11697,FLL,"Fort Lauderdale, FL",FL,13342,MKE,"Milwaukee, WI",WI,2100,,,,,,2100-2159,2320,,,,,,2300-2359,1.0,C,0.0,200.0,,,1243.0,5,,,,,,
149235,3,30,3,2022-03-30,9E,N8877A,4688,10731,BQK,"Brunswick, GA",GA,10397,ATL,"Atlanta, GA",GA,752,911.0,79.0,79.0,1.0,5.0,0700-0759,905,1020.0,75.0,75.0,1.0,5.0,0900-0959,0.0,,0.0,73.0,69.0,42.0,238.0,1,75.0,0.0,0.0,0.0,0.0,1.0
15349,3,7,1,2022-03-07,DL,N851DN,2751,14771,SFO,"San Francisco, CA",CA,13487,MSP,"Minneapolis, MN",MN,800,756.0,-4.0,0.0,0.0,-1.0,0800-0859,1328,1323.0,-5.0,0.0,0.0,-1.0,1300-1359,0.0,,0.0,208.0,207.0,194.0,1589.0,7,,,,,,0.0
129525,3,27,7,2022-03-27,NK,N634NK,1778,13204,MCO,"Orlando, FL",FL,14730,SDF,"Louisville, KY",KY,1050,1122.0,32.0,32.0,1.0,2.0,1000-1059,1250,1332.0,42.0,42.0,1.0,2.0,1200-1259,0.0,,0.0,120.0,130.0,107.0,719.0,3,0.0,0.0,42.0,0.0,0.0,1.0
223460,3,20,7,2022-03-20,AA,N841NN,2252,11057,CLT,"Charlotte, NC",NC,10721,BOS,"Boston, MA",MA,1659,1655.0,-4.0,0.0,0.0,-1.0,1600-1659,1908,1907.0,-1.0,0.0,0.0,-1.0,1900-1959,0.0,,0.0,129.0,132.0,101.0,728.0,3,,,,,,0.0
135471,3,3,4,2022-03-03,NK,N532NK,342,14107,PHX,"Phoenix, AZ",AZ,13487,MSP,"Minneapolis, MN",MN,1044,1052.0,8.0,8.0,0.0,0.0,1000-1059,1441,1441.0,0.0,0.0,0.0,0.0,1400-1459,0.0,,0.0,177.0,169.0,152.0,1276.0,6,,,,,,0.0
544037,3,26,6,2022-03-26,WN,N8503A,2953,12266,IAH,"Houston, TX",TX,13232,MDW,"Chicago, IL",IL,850,850.0,0.0,0.0,0.0,0.0,0800-0859,1105,1110.0,5.0,5.0,0.0,0.0,1100-1159,0.0,,0.0,135.0,140.0,127.0,917.0,4,,,,,,0.0
531057,3,9,3,2022-03-09,WN,N8548P,2357,11259,DAL,"Dallas, TX",TX,13232,MDW,"Chicago, IL",IL,1245,1315.0,30.0,30.0,1.0,2.0,1200-1259,1500,1506.0,6.0,6.0,0.0,0.0,1500-1559,0.0,,0.0,135.0,111.0,94.0,793.0,4,,,,,,0.0
264830,3,28,1,2022-03-28,AS,N270AK,736,14747,SEA,"Seattle, WA",WA,10721,BOS,"Boston, MA",MA,1540,1623.0,43.0,43.0,1.0,2.0,1500-1559,2356,28.0,32.0,32.0,1.0,2.0,2300-2359,0.0,,0.0,316.0,305.0,279.0,2496.0,10,32.0,0.0,0.0,0.0,0.0,1.0
269665,3,23,3,2022-03-23,B6,N238JB,1271,13933,ORH,"Worcester, MA",MA,12478,JFK,"New York, NY",NY,1320,1310.0,-10.0,0.0,0.0,-1.0,1300-1359,1428,1409.0,-19.0,0.0,0.0,-2.0,1400-1459,0.0,,0.0,68.0,59.0,40.0,150.0,1,,,,,,0.0
527717,3,26,6,2022-03-26,WN,N7836A,3059,10397,ATL,"Atlanta, GA",GA,15016,STL,"St. Louis, MO",MO,1935,2208.0,152.0,152.0,1.0,10.0,1900-1959,2025,2246.0,141.0,141.0,1.0,9.0,2000-2059,0.0,,0.0,110.0,99.0,84.0,484.0,2,17.0,0.0,0.0,0.0,124.0,1.0
380580,3,30,3,2022-03-30,UA,N13227,2121,14771,SFO,"San Francisco, CA",CA,11292,DEN,"Denver, CO",CO,642,636.0,-6.0,0.0,0.0,-1.0,0600-0659,1015,1015.0,0.0,0.0,0.0,0.0,1000-1059,0.0,,0.0,153.0,159.0,124.0,967.0,4,,,,,,0.0
287211,3,20,7,2022-03-20,B6,N958JB,2322,14027,PBI,"West Palm Beach/Palm Beach, FL",FL,10721,BOS,"Boston, MA",MA,1935,1959.0,24.0,24.0,1.0,1.0,1900-1959,2234,2248.0,15.0,15.0,1.0,1.0,2200-2259,0.0,,0.0,179.0,170.0,149.0,1197.0,5,4.0,0.0,0.0,0.0,11.0,1.0
381855,3,29,2,2022-03-29,UA,N17254,2651,13930,ORD,"Chicago, IL",IL,10423,AUS,"Austin, TX",TX,1252,1252.0,0.0,0.0,0.0,0.0,1200-1259,1539,1535.0,-4.0,0.0,0.0,-1.0,1500-1559,0.0,,0.0,167.0,163.0,136.0,977.0,4,,,,,,0.0
81358,3,27,7,2022-03-27,F9,N712FR,113,14843,SJU,"San Juan, PR",PR,14100,PHL,"Philadelphia, PA",PA,1753,1912.0,79.0,79.0,1.0,5.0,1700-1759,2222,2344.0,83.0,83.0,1.0,5.0,2200-2259,0.0,,0.0,269.0,273.0,228.0,1576.0,7,7.0,0.0,30.0,0.0,46.0,1.0
99289,3,5,6,2022-03-05,HA,N489HA,335,13830,OGG,"Kahului, HI",HI,12173,HNL,"Honolulu, HI",HI,1620,1619.0,-1.0,0.0,0.0,-1.0,1600-1659,1700,1659.0,-1.0,0.0,0.0,-1.0,1700-1759,0.0,,0.0,40.0,40.0,23.0,100.0,1,,,,,,0.0
551229,3,10,4,2022-03-10,YV,N88328,6152,12266,IAH,"Houston, TX",TX,13198,MCI,"Kansas City, MO",MO,1430,1431.0,1.0,1.0,0.0,0.0,1400-1459,1637,1628.0,-9.0,0.0,0.0,-1.0,1600-1659,0.0,,0.0,127.0,117.0,88.0,643.0,3,,,,,,0.0
151867,3,13,7,2022-03-13,9E,N927XJ,4786,14524,RIC,"Richmond, VA",VA,12478,JFK,"New York, NY",NY,1713,1736.0,23.0,23.0,1.0,1.0,1700-1759,1839,1910.0,31.0,31.0,1.0,2.0,1800-1859,0.0,,0.0,86.0,94.0,57.0,288.0,2,23.0,0.0,8.0,0.0,0.0,1.0
328099,3,26,6,2022-03-26,OO,N762SK,3030,13930,ORD,"Chicago, IL",IL,11977,GRB,"Green Bay, WI",WI,2010,2007.0,-3.0,0.0,0.0,-1.0,2000-2059,2119,2134.0,15.0,15.0,1.0,1.0,2100-2159,0.0,,0.0,69.0,87.0,34.0,174.0,1,15.0,0.0,0.0,0.0,0.0,1.0
367225,3,27,7,2022-03-27,OO,N134SY,4762,11986,GRR,"Grand Rapids, MI",MI,13930,ORD,"Chicago, IL",IL,621,615.0,-6.0,0.0,0.0,-1.0,0600-0659,630,625.0,-5.0,0.0,0.0,-1.0,0600-0659,0.0,,0.0,69.0,70.0,28.0,137.0,1,,,,,,0.0
513437,3,15,2,2022-03-15,WN,N7822A,779,11259,DAL,"Dallas, TX",TX,13495,MSY,"New Orleans, LA",LA,600,650.0,50.0,50.0,1.0,3.0,0600-0659,725,804.0,39.0,39.0,1.0,2.0,0700-0759,0.0,,0.0,85.0,74.0,63.0,436.0,2,0.0,0.0,39.0,0.0,0.0,1.0
474774,3,29,2,2022-03-29,WN,N239WN,1799,14492,RDU,"Raleigh/Durham, NC",NC,10821,BWI,"Baltimore, MD",MD,1625,1701.0,36.0,36.0,1.0,2.0,1600-1659,1730,1757.0,27.0,27.0,1.0,1.0,1700-1759,0.0,,0.0,65.0,56.0,47.0,255.0,2,27.0,0.0,0.0,0.0,0.0,1.0
1472,3,19,6,2022-03-19,DL,N103DU,521,10721,BOS,"Boston, MA",MA,10994,CHS,"Charleston, SC",SC,959,1047.0,48.0,48.0,1.0,3.0,0900-0959,1244,1314.0,30.0,30.0,1.0,2.0,1200-1259,0.0,,0.0,165.0,147.0,127.0,818.0,4,30.0,0.0,0.0,0.0,0.0,1.0
112276,3,17,4,2022-03-17,MQ,N207AN,3880,11298,DFW,"Dallas/Fort Worth, TX",TX,10279,AMA,"Amarillo, TX",TX,2235,2316.0,41.0,41.0,1.0,2.0,2200-2259,2354,30.0,36.0,36.0,1.0,2.0,2300-2359,0.0,,0.0,79.0,74.0,57.0,312.0,2,0.0,0.0,1.0,0.0,35.0,1.0
517224,3,16,3,2022-03-16,WN,N8730Q,2174,12173,HNL,"Honolulu, HI",HI,12889,LAS,"Las Vegas, NV",NV,1405,1355.0,-10.0,0.0,0.0,-1.0,1400-1459,2250,2228.0,-23.0,0.0,0.0,-2.0,2200-2259,0.0,,0.0,345.0,332.0,307.0,2762.0,11,,,,,,0.0
246171,3,24,4,2022-03-24,PT,N651AE,6177,14576,ROC,"Rochester, NY",NY,10721,BOS,"Boston, MA",MA,1525,1531.0,6.0,6.0,0.0,0.0,1500-1559,1642,1700.0,18.0,18.0,1.0,1.0,1600-1659,0.0,,0.0,77.0,89.0,57.0,343.0,2,0.0,0.0,12.0,0.0,6.0,1.0
485324,3,12,6,2022-03-12,WN,N8301J,2559,15304,TPA,"Tampa, FL",FL,14492,RDU,"Raleigh/Durham, NC",NC,1640,2140.0,300.0,300.0,1.0,12.0,1600-1659,1820,2312.0,293.0,293.0,1.0,12.0,1800-1859,0.0,,0.0,100.0,93.0,80.0,587.0,3,188.0,0.0,0.0,0.0,105.0,1.0
132064,3,20,7,2022-03-20,NK,N504NK,235,10158,ACY,"Atlantic City, NJ",NJ,11697,FLL,"Fort Lauderdale, FL",FL,530,526.0,-4.0,0.0,0.0,-1.0,0001-0559,811,815.0,4.0,4.0,0.0,0.0,0800-0859,0.0,,0.0,161.0,169.0,149.0,977.0,4,,,,,,0.0
552607,3,24,4,2022-03-24,YV,N86344,6095,13930,ORD,"Chicago, IL",IL,13851,OKC,"Oklahoma City, OK",OK,1935,1933.0,-2.0,0.0,0.0,-1.0,1900-1959,2201,2148.0,-13.0,0.0,0.0,-1.0,2200-2259,0.0,,0.0,146.0,135.0,97.0,693.0,3,,,,,,0.0
184077,3,25,5,2022-03-25,AA,N874NN,1755,12953,LGA,"New York, NY",NY,11298,DFW,"Dallas/Fort Worth, TX",TX,1359,1359.0,0.0,0.0,0.0,0.0,1300-1359,1704,1628.0,-36.0,0.0,0.0,-2.0,1700-1759,0.0,,0.0,245.0,209.0,190.0,1389.0,6,,,,,,0.0
460807,3,12,6,2022-03-12,WN,N8750Q,934,12889,LAS,"Las Vegas, NV",NV,12892,LAX,"Los Angeles, CA",CA,1650,1720.0,30.0,30.0,1.0,2.0,1600-1659,1805,1822.0,17.0,17.0,1.0,1.0,1800-1859,0.0,,0.0,75.0,62.0,43.0,236.0,1,8.0,0.0,0.0,0.0,9.0,1.0
31749,3,8,2,2022-03-08,DL,N341NW,2062,10397,ATL,"Atlanta, GA",GA,10257,ALB,"Albany, NY",NY,1559,1558.0,-1.0,0.0,0.0,-1.0,1500-1559,1814,1758.0,-16.0,0.0,0.0,-2.0,1800-1859,0.0,,0.0,135.0,120.0,100.0,853.0,4,,,,,,0.0
468460,3,21,1,2022-03-21,WN,N8730Q,2693,11292,DEN,"Denver, CO",CO,15016,STL,"St. Louis, MO",MO,840,844.0,4.0,4.0,0.0,0.0,0800-0859,1145,1131.0,-14.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,125.0,107.0,91.0,770.0,4,,,,,,0.0
76335,3,15,2,2022-03-15,F9,N722FR,1212,15016,STL,"St. Louis, MO",MO,13204,MCO,"Orlando, FL",FL,2105,2102.0,-3.0,0.0,0.0,-1.0,2100-2159,33,145.0,72.0,72.0,1.0,4.0,0001-0559,0.0,,0.0,148.0,223.0,160.0,882.0,4,0.0,0.0,72.0,0.0,0.0,1.0
166152,3,23,3,2022-03-23,9E,N538CA,5410,11423,DSM,"Des Moines, IA",IA,11433,DTW,"Detroit, MI",MI,1415,1410.0,-5.0,0.0,0.0,-1.0,1400-1459,1656,1651.0,-5.0,0.0,0.0,-1.0,1600-1659,0.0,,0.0,101.0,101.0,87.0,534.0,3,,,,,,0.0
32586,3,2,3,2022-03-02,DL,N822DN,2083,14635,RSW,"Fort Myers, FL",FL,10397,ATL,"Atlanta, GA",GA,1815,1810.0,-5.0,0.0,0.0,-1.0,1800-1859,2007,1946.0,-21.0,0.0,0.0,-2.0,2000-2059,0.0,,0.0,112.0,96.0,78.0,515.0,3,,,,,,0.0
