,Operating_Airline,Origin,OriginCityName,Dest,DestCityName,DistanceGroup
14088,NK,DTW,"Detroit, MI",ATL,"Atlanta, GA",3
14118,NK,LAX,"Los Angeles, CA",IAH,"Houston, TX",6
14203,G4,LAS,"Las Vegas, NV",OAK,"Oakland, CA",2
14229,F9,MCO,"Orlando, FL",BOS,"Boston, MA",5
14244,UA,IAD,"Washington, DC",LAX,"Los Angeles, CA",10
14257,AA,ICT,"Wichita, KS",DFW,"Dallas/Fort Worth, TX",2
14276,WN,IAH,"Houston, TX",LAS,"Las Vegas, NV",5
14502,B6,DFW,"Dallas/Fort Worth, TX",BOS,"Boston, MA",7
14512,NK,TPA,"Tampa, FL",PHL,"Philadelphia, PA",4
14529,NK,BNA,"Nashville, TN",EWR,"Newark, NJ",3
14536,G7,RIC,"Richmond, VA",ORD,"Chicago, IL",3
14564,YX,RIC,"Richmond, VA",CLT,"Charlotte, NC",2
