,Operating_Airline,Origin,OriginCityName,Dest,DestCityName,DistanceGroup
7868,F9,MCO,"Orlando, FL",MSY,"New Orleans, LA",3
7870,WN,SFO,"San Francisco, CA",DEN,"Denver, CO",4
7878,UA,SAT,"San Antonio, TX",IAH,"Houston, TX",1
7924,DL,DCA,"Washington, DC",LGA,"New York, NY",1
7957,G7,GRB,"Green Bay, WI",ORD,"Chicago, IL",1
7991,NK,RSW,"Fort Myers, FL",ORD,"Chicago, IL",5
8000,F9,RDU,"Raleigh/Durham, NC",MCO,"Orlando, FL",3
8005,YV,PHX,"Phoenix, AZ",SLC,"Salt Lake City, UT",3
8018,OO,ORD,"Chicago, IL",GRB,"Green Bay, WI",1
8033,F9,MIA,"Miami, FL",EWR,"Newark, NJ",5
8040,F9,SAT,"San Antonio, TX",DEN,"Denver, CO",4
8051,YV,IAD,"Washington, DC",ATL,"Atlanta, GA",3
8057,F9,SEA,"Seattle, WA",DEN,"Denver, CO",5
8063,DL,IAH,"Houston, TX",SLC,"Salt Lake City, UT",5
8067,F9,SLC,"Salt Lake City, UT",PHX,"Phoenix, AZ",3
8074,F9,PHX,"Phoenix, AZ",SAN,"San Diego, CA",2
8081,AA,ATL,"Atlanta, GA",ORD,"Chicago, IL",3
8082,MQ,AUS,"Austin, TX",DFW,"Dallas/Fort Worth, TX",1
8090,DL,LGA,"New York, NY",BNA,"Nashville, TN",4
8136,MQ,STL,"St. Louis, MO",ORD,"Chicago, IL",2
8137,WN,ORD,"Chicago, IL",RSW,"Fort Myers, FL",5
8144,QX,SEA,"Seattle, WA",ANC,"Anchorage, AK",6
8158,UA,ORD,"Chicago, IL",OMA,"Omaha, NE",2
8160,UA,MSP,"Minneapolis, MN",DEN,"Denver, CO",3
8164,OO,DEN,"Denver, CO",OMA,"Omaha, NE",2
8168,OO,DCA,"Washington, DC",IAH,"Houston, TX",5
8172,B6,BOS,"Boston, MA",PIT,"Pittsburgh, PA",2
8195,OO,PHX,"Phoenix, AZ",IAH,"Houston, TX",5
8220,NK,IAH,"Houston, TX",DEN,"Denver, CO",4
8225,DL,SLC,"Salt Lake City, UT",JFK,"New York, NY",8
8245,F9,EWR,"Newark, NJ",MIA,"Miami, FL",5
8264,AA,MIA,"Miami, FL",DEN,"Denver, CO",7
8265,DL,LGA,"New York, NY",MCO,"Orlando, FL",4
8269,AS,SAN,"San Diego, CA",JFK,"New York, NY",10
8278,UA,RDU,"Raleigh/Durham, NC",EWR,"Newark, NJ",2
8279,F9,LAS,"Las Vegas, NV",OAK,"Oakland, CA",2
8281,DL,ORD,"Chicago, IL",SLC,"Salt Lake City, UT",6
8288,MQ,ATL,"Atlanta, GA",MIA,"Miami, FL",3
8300,ZW,ORD,"Chicago, IL",GRR,"Grand Rapids, MI",1
8301,WN,DEN,"Denver, CO",IAD,"Washington, DC",6
8305,UA,EWR,"Newark, NJ",ATL,"Atlanta, GA",3
8311,OO,ORD,"Chicago, IL",OMA,"Omaha, NE",2
8322,WN,LAX,"Los Angeles, CA",SJC,"San Jose, CA",2
8349,NK,EWR,"Newark, NJ",LAS,"Las Vegas, NV",9
8371,OO,MKE,"Milwaukee, WI",DEN,"Denver, CO",4
8379,WN,LGA,"New York, NY",BNA,"Nashville, TN",4
8395,AS,SFO,"San Francisco, CA",HNL,"Honolulu, HI",10
8409,F9,BOS,"Boston, MA",MIA,"Miami, FL",6
8413,MQ,DFW,"Dallas/Fort Worth, TX",ICT,"Wichita, KS",2
8418,QX,PHX,"Phoenix, AZ",SFO,"San Francisco, CA",3
8419,NK,MCO,"Orlando, FL",STL,"St. Louis, MO",4
8420,WN,PHX,"Phoenix, AZ",SAT,"San Antonio, TX",4
8432,B6,DFW,"Dallas/Fort Worth, TX",JFK,"New York, NY",6
8461,OO,AUS,"Austin, TX",SAN,"San Diego, CA",5
8486,OO,DFW,"Dallas/Fort Worth, TX",DEN,"Denver, CO",3
8515,OO,ORD,"Chicago, IL",AUS,"Austin, TX",4
8532,PT,CLT,"Charlotte, NC",TYS,"Knoxville, TN",1
8545,DL,ORD,"Chicago, IL",DTW,"Detroit, MI",1
8553,YX,MSP,"Minneapolis, MN",LGA,"New York, NY",5
8578,B6,DTW,"Detroit, MI",JFK,"New York, NY",3
8587,WN,MCO,"Orlando, FL",RDU,"Raleigh/Durham, NC",3
