iter	Logloss
0	0.6919664238
1	0.6903159398
2	0.6887250288
3	0.6876958921
4	0.6864580075
5	0.6852409119
6	0.6839356939
7	0.6826409787
8	0.6816387217
9	0.6810163188
10	0.6801585564
11	0.6792155525
12	0.6782018757
13	0.6773328926
14	0.6765138795
15	0.6759245939
16	0.6751754577
17	0.6746953173
18	0.6739623504
19	0.673243762
20	0.6725981649
21	0.6719689362
22	0.6711919686
23	0.6707649042
24	0.6702586108
25	0.6696526196
26	0.6692014612
27	0.6687080756
28	0.6681579287
29	0.6677169702
30	0.6670603427
31	0.6666416095
32	0.6662714622
33	0.6658869624
34	0.6652964483
35	0.6650154011
36	0.6646706368
37	0.664215966
38	0.6639260771
39	0.6636368544
40	0.6633056987
41	0.6629348247
42	0.6628147701
43	0.662592353
44	0.6621811984
45	0.6618102119
46	0.6614918342
47	0.661094937
48	0.6607866554
49	0.6604023718
50	0.6600741056
51	0.6597800814
52	0.6594803819
53	0.6592615205
54	0.6591303403
55	0.6588539648
56	0.6587088041
57	0.6584259314
58	0.6582750349
59	0.6581339489
60	0.6579563976
61	0.6577675131
62	0.6575418949
63	0.6571842834
64	0.6568782252
65	0.6566482468
66	0.6563183542
67	0.6560961793
68	0.6558000182
69	0.6555404436
70	0.6553383917
71	0.6552003337
72	0.654984457
73	0.6547297618
74	0.654567878
75	0.6543169201
76	0.6540596122
77	0.6539234921
78	0.6538046747
79	0.6535816866
80	0.6534707246
81	0.6532880863
82	0.6531584028
83	0.6530247484
84	0.6527849766
85	0.6525393999
86	0.6522870924
87	0.6520306323
88	0.6518875738
89	0.651649965
90	0.6515102546
91	0.6512634321
92	0.6511138073
93	0.6510335315
94	0.6509575296
95	0.6507184413
96	0.6505048399
97	0.6503389938
98	0.6501187395
99	0.6499378748
100	0.6498058295
101	0.6497139004
102	0.6495111132
103	0.6492609858
104	0.6491348148
105	0.6490106249
106	0.6488652738
107	0.6487089529
108	0.6486343957
109	0.6484778671
110	0.648309045
111	0.6481954876
112	0.6480891973
113	0.6479381364
114	0.6478084096
115	0.647609256
116	0.647459735
117	0.6473741387
118	0.6471848388
119	0.6471086552
120	0.6470573788
121	0.6468633553
122	0.6467069998
123	0.6466002942
124	0.6464880691
125	0.6463425191
126	0.6461428896
127	0.645977701
128	0.6457608726
129	0.6456343815
130	0.6455254007
131	0.6454537244
132	0.6453347858
133	0.6452461789
134	0.6451027398
135	0.6449508224
136	0.6448709359
137	0.6447621887
138	0.6446504913
139	0.6445639174
140	0.6444417866
141	0.6442987973
142	0.6441442586
143	0.644040953
144	0.6438702276
145	0.6437644564
146	0.6436458639
147	0.6433813407
148	0.6432512506
149	0.64319596
150	0.6430754988
151	0.6429595017
152	0.6428858529
153	0.6427432616
154	0.6425379396
155	0.6423888857
156	0.6423253763
157	0.6422016103
158	0.6421142665
159	0.6420004149
160	0.6418926626
161	0.6418056648
162	0.641611252
163	0.6414644735
164	0.6413338643
165	0.6412160504
166	0.6411618498
167	0.641035177
168	0.6409524616
169	0.6408292234
170	0.6407197494
171	0.640575177
172	0.6405071083
173	0.640373722
174	0.640295289
175	0.6402455093
176	0.640173807
177	0.6400635631
178	0.6399986781
179	0.6398499617
180	0.6398051304
181	0.6397371829
182	0.639644605
183	0.639527786
184	0.6394970305
185	0.6393986303
186	0.6392628908
187	0.6390801314
188	0.6388990417
189	0.6387238176
190	0.6386343542
191	0.6385643303
192	0.6383833963
193	0.6382437638
194	0.6381726844
195	0.638015334
196	0.6378852006
197	0.6377776213
198	0.6376558105
199	0.6375873525
200	0.6375157887
201	0.6374109086
202	0.6373498907
203	0.6372357623
204	0.6371279321
205	0.637045433
206	0.6369328359
207	0.6368589881
208	0.636651036
209	0.6365249861
210	0.636411247
211	0.6363350115
212	0.6362358931
213	0.6360541632
214	0.6359616286
215	0.6358606329
216	0.6357451117
217	0.635624339
218	0.6354255054
219	0.6353259199
220	0.635157392
221	0.6351370354
222	0.6350223014
223	0.6348765783
224	0.6347650021
225	0.6347011639
226	0.6345619467
227	0.6344586411
228	0.6343828208
229	0.6342582935
230	0.6342076832
231	0.634088935
232	0.6340340769
233	0.6339794437
234	0.6339094977
235	0.6337308044
236	0.6336767855
237	0.6336092186
238	0.6335181806
239	0.6333928574
240	0.6333205755
241	0.6332442448
242	0.6330550747
243	0.6329188249
244	0.6327704372
245	0.6327084504
